Class,Section,Days & Times,Room,Instructor,Meeting Dates,Status
MAE 571,"M001-SEC Regular",TuTh 5:00PM - 6:20PM,HB CROUSE KITTREDGE,M. Sarimurat,01/14/2025 - 04/24/2025,N/A
MAE 585,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Sims Hall 241,M. Erdman,01/13/2025 - 04/28/2025,N/A
MAE 600,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Link Hall 373,Q. Qiao,01/14/2025 - 04/24/2025,N/A
MAE 600,"M002-SEC Regular",MoWe 5:15PM - 6:35PM,Hall of Languages 205,L. Lao,01/13/2025 - 04/28/2025,N/A
MAE 600,"M800-SEC Regular","TBA Tu 8:30PM - 10:00PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","A. Benner A. Benner","01/13/2025 - 04/28/2025 01/14/2025 - 04/22/2025",N/A
MAE 600,"M801-SEC Regular","TBA We 8:30PM - 10:00PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","J. Anderson J. Anderson","01/13/2025 - 04/28/2025 01/15/2025 - 04/23/2025",N/A
MAE 651,"M001-SEC Regular",TuTh 5:00PM - 6:20PM,LYMAN HALL 115A,B. Akih Kumgeh,01/14/2025 - 04/24/2025,N/A
MAE 741,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,SCITC3-212,K. Laurent,01/14/2025 - 04/24/2025,N/A
MAE 994,"M001-SEC Regular",TBA,TBA,J. Ahn,01/13/2025 - 04/28/2025,N/A
MAE 994,"M002-SEC Regular",TBA,TBA,J. Anderson,01/13/2025 - 04/28/2025,N/A
MAE 995,"M001-SEC Regular",Fr 12:45PM - 2:05PM,Hall of Languages 207,W. Shan,01/17/2025 - 04/25/2025,N/A
MAE 995,"M002-SEC Regular",Fr 2:15PM - 3:35PM,LINK HALL 237,W. Shan,01/17/2025 - 04/25/2025,N/A
ELE 231,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,Life Science Building 105,M. Hasanovic,01/14/2025 - 04/24/2025,N/A
ELE 231,"M002-RECRegular",Tu 11:00AM - 11:55AM,FALK ROOM 201,M. Hasanovic,01/14/2025 - 04/22/2025,N/A
ELE 251,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,SCITC3-211,Y. Cao,01/14/2025 - 04/24/2025,N/A
ELE 292,"M001-SEC Regular",We 3:45PM - 6:30PM,SCITC3-211,Y. Cao,01/15/2025 - 04/23/2025,N/A
ELE 333,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Lyman Hall 115B,M. Hasanovic,01/14/2025 - 04/24/2025,N/A
ELE 352,"M002-SEC Regular",MoWe 12:45PM - 2:05PM,SCITC 4-206K,B. Chen,01/13/2025 - 04/28/2025,N/A
ELE 354,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Science & Tech Ctr 3-216,M. Gursoy,01/13/2025 - 04/28/2025,N/A
ELE 392,"M001-SEC Regular",TuTh 2:00PM - 4:50PM,Science & Tech Ctr 3-217,J. Graham,01/14/2025 - 04/24/2025,N/A
ELE 400,"M002-SEC Regular",TuTh 5:00PM - 6:20PM,SCITC3-212,Y. Radi,01/14/2025 - 04/24/2025,N/A
ELE 400,"M003-SEC Regular",TuTh 6:30PM - 7:50PM,SCITC3-212,Y. Radi,01/14/2025 - 04/24/2025,N/A
ELE 492,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,SCITC3-211,J. Graham,01/14/2025 - 04/24/2025,N/A
ELE 591,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,Life Science Building 214,P. Ghosh,01/14/2025 - 04/24/2025,N/A
ELE 614,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Life Science Building 156,S. Eftekharnejad,01/13/2025 - 04/28/2025,N/A
ELE 635,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,SCITC3-212,P. Ghosh,01/14/2025 - 04/24/2025,N/A
ELE 651,"M001-SEC Regular",MoWe 5:15PM - 6:35PM,Science & Tech Ctr 3-216,M. Gursoy,01/13/2025 - 04/28/2025,N/A
ELE 667,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Hall of Languages 205,E. Ercanli,01/14/2025 - 04/24/2025,N/A
ELE 691,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Hall of Languages 114,C. Isik,01/14/2025 - 04/24/2025,N/A
ELE 691,"M002-SEC Regular",TuTh 5:00PM - 6:20PM,SCITC3-212,Y. Radi,01/14/2025 - 04/24/2025,N/A
ELE 691,"M003-SEC Regular",TuTh 6:30PM - 7:50PM,SCITC3-212,Y. Radi,01/14/2025 - 04/24/2025,N/A
ELE 703,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Huntington Hall 106,M. Fardad,01/13/2025 - 04/28/2025,N/A
ELE 791,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,SCITC 4-206,R. Kuate Defo,01/13/2025 - 04/28/2025,N/A
ELE 791,"M002-SEC Regular",TuTh 2:00PM - 3:20PM,SCITC 4-206,P. Jha,01/14/2025 - 04/24/2025,N/A
ELE 791,"M003-SEC Regular",We 9:30AM - 12:15PM,SCITC 4-206,P. Varshney,01/15/2025 - 04/23/2025,N/A
GEO 103,"M001-SEC Regular",MoWe 10:35AM - 11:30AM,Slocum Hall 214,T. Perreault,01/13/2025 - 04/28/2025,N/A
GEO 103,"M003-DISRegular",Fr 10:35AM - 11:30AM,Eggers Hall 070,Staff,01/17/2025 - 04/25/2025,N/A
GEO 103,"M004-DISRegular",Fr 12:45PM - 1:40PM,Maxwell Hall 108,Staff,01/17/2025 - 04/25/2025,N/A
GEO 103,"M005-DISRegular",Fr 10:35AM - 11:30AM,Hall of Languages 202,Staff,01/17/2025 - 04/25/2025,N/A
GEO 103,"M006-DISRegular",Fr 9:30AM - 10:25AM,Maxwell Hall 110,Staff,01/17/2025 - 04/25/2025,N/A
GEO 103,"M007-DISRegular",Fr 12:45PM - 1:40PM,HB CROUSE 209 located on quad,Staff,01/17/2025 - 04/25/2025,N/A
GEO 103,"U001-SEC Regular",Tu 5:00PM - 7:45PM,Eggers Hall 070,B. Hennigan,01/14/2025 - 04/22/2025,N/A
GEO 108,"M001-SEC Regular",MoWe 12:45PM - 1:40PM,School of Management 104,J. Read,01/13/2025 - 04/28/2025,N/A
GEO 108,"M002-DISRegular",Th 9:30AM - 10:25AM,Lyman Hall 219,Staff,01/16/2025 - 04/24/2025,N/A
GEO 108,"M003-DISRegular",Th 2:00PM - 2:55PM,Lyman Hall 219,Staff,01/16/2025 - 04/24/2025,N/A
GEO 108,"M004-DISRegular",Th 6:30PM - 7:25PM,Lyman Hall 219,Staff,01/16/2025 - 04/24/2025,N/A
GEO 155,"U700-SEC Eight Wk 1","TBA We 8:00PM - 9:30PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","D. Petitt D. Petitt","01/13/2025 - 03/06/2025 01/15/2025 - 03/05/2025",N/A
GEO 171,"M001-SEC Regular",MoWe 9:30AM - 10:25AM,Slocum Hall 214,T. Hammond,01/13/2025 - 04/28/2025,N/A
GEO 171,"M002-DISRegular",Fr 12:45PM - 1:40PM,Eggers Hall 070,Staff,01/17/2025 - 04/25/2025,N/A
GEO 171,"M006-DISRegular",Fr 10:35AM - 11:30AM,Maxwell Hall 108,Staff,01/17/2025 - 04/25/2025,N/A
GEO 171,"U001-SEC Regular",Mo 5:15PM - 8:00PM,Hall of Languages 102,B. Hennigan,01/13/2025 - 04/28/2025,N/A
GEO 273,"M001-SEC Regular",MoWe 11:40AM - 12:35PM,FALK ROOM 175,M. Huber,01/13/2025 - 04/28/2025,N/A
GEO 273,"M003-DISRegular",Fr 10:35AM - 11:30AM,Heroy Geology Building 113,Staff,01/17/2025 - 04/25/2025,N/A
GEO 300,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Maxwell Hall 110,K. Offen,01/14/2025 - 04/24/2025,N/A
GEO 300,"M002-SEC Regular",TuTh 3:30PM - 4:50PM,Physics Building 104N,A. Mosher,01/14/2025 - 04/24/2025,N/A
GEO 300,"M004-SEC Regular",MoWe 2:15PM - 3:35PM,Lyman Hall 219,X. Yang,01/13/2025 - 04/28/2025,N/A
GEO 316,"U700-SEC Eight Wk 2","TBA We 8:00PM - 9:30PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","D. Petitt D. Petitt","03/10/2025 - 05/01/2025 03/12/2025 - 04/30/2025",N/A
GEO 321,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Eggers Hall 111,T. Perreault,01/13/2025 - 04/28/2025,N/A
GEO 331,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,School of Management 013,T. Rutherford,01/14/2025 - 04/24/2025,N/A
GEO 336,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Maxwell Hall 111,F. Sultana,01/14/2025 - 04/24/2025,N/A
GEO 356,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Hall of Languages 211,A. Vlasak,01/13/2025 - 04/28/2025,N/A
GEO 358,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Shaffer Art Building 205,R. Wilson,01/14/2025 - 04/24/2025,N/A
GEO 364,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Bowne Hall 105,A. Ortega,01/13/2025 - 04/28/2025,N/A
GEO 383,"M001-SEC Regular",MoWe 9:30AM - 10:25AM,Eggers Hall 018,P. Gao,01/13/2025 - 04/28/2025,N/A
GEO 383,"M002-LAB Regular",Fr 10:35AM - 12:35PM,Lyman Hall 219,P. Gao,01/17/2025 - 04/25/2025,N/A
GEO 383,"M003-LAB Regular",Fr 12:45PM - 2:45PM,Lyman Hall 219,P. Gao,01/17/2025 - 04/25/2025,N/A
GEO 396,"M001-SEC Regular",TuTh 6:30PM - 7:50PM,MARLEY ROOM 216,D. Morgan,01/14/2025 - 04/24/2025,N/A
GEO 400,"M002-SEC Regular",TuTh 12:30PM - 1:50PM,Lyman Hall 219,J. Robinson,01/14/2025 - 04/24/2025,N/A
GEO 400,"M003-SEC Regular",MoWe 3:45PM - 5:05PM,Lyman Hall 219,X. Yang,01/13/2025 - 04/28/2025,N/A
GEO 415,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Bowne Hall 116,L. Minkoff-Zern,01/14/2025 - 04/24/2025,N/A
GEO 426,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Eggers Hall 155,E. Coffel,01/14/2025 - 04/24/2025,N/A
GEO 564,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,HB CROUSE 306 located on quad,A. Mosher,01/14/2025 - 04/24/2025,N/A
GEO 600,"M002-SEC Regular",TuTh 12:30PM - 1:50PM,Lyman Hall 219,J. Robinson,01/14/2025 - 04/24/2025,N/A
GEO 600,"M003-SEC Regular",MoWe 3:45PM - 5:05PM,Lyman Hall 219,X. Yang,01/13/2025 - 04/28/2025,N/A
GEO 600,"M004-SEC Regular",MoWe 2:15PM - 3:35PM,Lyman Hall 219,X. Yang,01/13/2025 - 04/28/2025,N/A
GEO 602,"M001-SEC Regular",Tu 2:00PM - 4:45PM,Eggers Hall 155,F. Sultana,01/14/2025 - 04/22/2025,N/A
GEO 683,"M001-SEC Regular",MoWe 9:30AM - 10:25AM,Eggers Hall 018,P. Gao,01/13/2025 - 04/28/2025,N/A
GEO 683,"M002-LAB Regular",Fr 10:35AM - 12:35PM,Lyman Hall 219,P. Gao,01/17/2025 - 04/25/2025,N/A
GEO 683,"M003-LAB Regular",Fr 12:45PM - 2:45PM,Lyman Hall 219,P. Gao,01/17/2025 - 04/25/2025,N/A
GEO 683,"M004-LAB Regular",Th 3:30PM - 5:30PM,Lyman Hall 219,Staff,01/16/2025 - 04/24/2025,N/A
GEO 700,"M002-SEC Regular",Mo 5:15PM - 8:00PM,Eggers Hall 155,A. Ortega,01/13/2025 - 04/28/2025,N/A
GEO 756,"M001-SEC Regular",Tu 5:00PM - 7:45PM,Eggers Hall 155,T. Rutherford,01/14/2025 - 04/22/2025,N/A
GEO 815,"M001-SEC Regular",We 2:15PM - 5:00PM,Eggers Hall 155,T. Hammond,01/15/2025 - 04/23/2025,N/A
GEO 997,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
GEO 999,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
ECN 101,"M002-LAB Regular",Th 3:30PM - 4:25PM,Eggers Hall 070,M. Mazrooie,01/16/2025 - 04/24/2025,N/A
ECN 101,"U801-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,C. Liu,12/18/2024 - 01/10/2025,N/A
ECN 102,"M005-SEC Regular",TuTh 3:30PM - 4:50PM,Watson Theater,M. Lorenzo,01/14/2025 - 04/24/2025,N/A
ECN 102,"M006-LAB Regular",Mo 9:30AM - 10:25AM,Eggers Hall 070,S. Brancato,01/13/2025 - 04/28/2025,N/A
ECN 102,"M009-SEC Regular",TuTh 5:00PM - 6:20PM,HB CROUSE GIFFORD,D. Laing,01/14/2025 - 04/24/2025,N/A
ECN 102,"M011-SEC Regular",TuTh 11:00AM - 12:20PM,Watson Theater,M. Lorenzo,01/14/2025 - 04/24/2025,N/A
ECN 102,"M012-SEC Regular",MoWe 12:45PM - 2:05PM,Shemin Auditorium Aud,A. Jonelis,01/13/2025 - 04/28/2025,N/A
ECN 102,"M013-SEC Regular",MoWe 3:45PM - 5:05PM,Maxwell Hall Aud,A. Jonelis,01/13/2025 - 04/28/2025,N/A
ECN 102,"M017-SEC Regular",MoWe 12:45PM - 2:05PM,Shemin Auditorium Aud,A. Jonelis,01/13/2025 - 04/28/2025,N/A
ECN 102,"M018-LAB Regular",Tu 5:00PM - 5:55PM,Hall of Languages 215,D. Solis,01/14/2025 - 04/22/2025,N/A
ECN 102,"M019-LAB Regular",Th 5:00PM - 5:55PM,Eggers Hall 070,Y. Lin,01/16/2025 - 04/24/2025,N/A
ECN 102,"M020-SEC Regular",MoWe 3:45PM - 5:05PM,Maxwell Hall Aud,A. Jonelis,01/13/2025 - 04/28/2025,N/A
ECN 102,"M021-LAB Regular",Tu 3:30PM - 4:50PM,Eggers Hall 070,D. Solis,01/14/2025 - 04/22/2025,N/A
ECN 102,"M022-LAB Regular",Fr 3:45PM - 5:05PM,Eggers Hall 018,Y. Lin,01/17/2025 - 04/25/2025,N/A
ECN 102,"U700-SEC Eight Wk 2","TBA We 6:30PM - 8:00PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","A. Jonelis A. Jonelis","03/10/2025 - 05/01/2025 03/12/2025 - 04/30/2025",N/A
ECN 301,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Eggers Hall 032,I. O'Connor,01/14/2025 - 04/24/2025,N/A
ECN 301,"M002-SEC Regular",TuTh 11:00AM - 12:20PM,HB CROUSE KITTREDGE,I. O'Connor,01/14/2025 - 04/24/2025,N/A
ECN 301,"M003-SEC Regular",TuTh 12:30PM - 1:50PM,HB CROUSE KITTREDGE,I. O'Connor,01/14/2025 - 04/24/2025,N/A
ECN 304,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Hall of Languages 214,C. Liu,01/14/2025 - 04/24/2025,N/A
ECN 305,"U801-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,D. Dutkowsky,12/18/2024 - 01/10/2025,N/A
ECN 305,"U803-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,D. Dutkowsky,12/18/2024 - 01/10/2025,N/A
ECN 310,"M003-SEC Regular",MoWe 2:15PM - 3:35PM,Hall of Languages 214,B. Kingma,01/13/2025 - 04/28/2025,N/A
ECN 310,"M004-SEC Regular",TuTh 3:30PM - 4:50PM,Hall of Languages 207,A. Jonelis,01/14/2025 - 04/24/2025,N/A
ECN 310,"M006-SEC Regular",TuTh 2:00PM - 3:20PM,Maxwell Hall 108,M. Ali,01/14/2025 - 04/24/2025,N/A
ECN 310,"M007-SEC Regular",WeFr 8:00AM - 9:20AM,HB CROUSE 209 located on quad,P. Cappers,01/15/2025 - 04/25/2025,N/A
ECN 367,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Hall of Languages 214,R. Monarch,01/14/2025 - 04/24/2025,N/A
ECN 410,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Sims Hall 331,C. Liu,01/14/2025 - 04/24/2025,N/A
ECN 410,"M002-SEC Regular",TuTh 12:30PM - 1:50PM,MARLEY ROOM 219,J. Kubik,01/14/2025 - 04/24/2025,N/A
ECN 410,"M005-SEC Regular",TuTh 3:30PM - 4:50PM,Hall of Languages 105,T. Pearson,01/14/2025 - 04/24/2025,N/A
ECN 422,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Eggers Hall 010,B. Walia,01/13/2025 - 04/28/2025,N/A
ECN 431,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,Newhouse 3 251,J. Kubik,01/14/2025 - 04/24/2025,N/A
ECN 481,"U801-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,D. Dutkowsky,12/18/2024 - 01/10/2025,N/A
ECN 481,"U803-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,D. Dutkowsky,12/18/2024 - 01/10/2025,N/A
ECN 496,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Eggers Hall 040,P. Singleton,01/13/2025 - 04/28/2025,N/A
ECN 505,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Hall of Languages 207,A. Tobias,01/13/2025 - 04/28/2025,N/A
ECN 521,"M002-SEC Regular",MoWe 5:15PM - 6:35PM,Eggers Hall 010,H. Borges Jales,01/13/2025 - 04/28/2025,N/A
ECN 522,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Lyman Hall 132,J. Shu,01/14/2025 - 04/24/2025,N/A
ECN 602,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Eggers Hall 112,D. Laing,01/14/2025 - 04/24/2025,N/A
ECN 610,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,TOLLEY110,M. Deza,01/13/2025 - 04/28/2025,N/A
ECN 612,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Eggers Hall 012,A. Tobias,01/13/2025 - 04/28/2025,N/A
ECN 622,"M001-SEC Regular",Th 12:30PM - 3:15PM,Eggers Hall 018,Y. Lee,01/16/2025 - 04/24/2025,N/A
ECN 623,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,HB CROUSE 209 located on quad,H. Borges Jales,01/13/2025 - 04/28/2025,N/A
ECN 635,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Maxwell Hall 111,Y. Hou,01/13/2025 - 04/28/2025,N/A
ECN 661,"M002-SEC Regular",TuTh 12:30PM - 1:50PM,Eggers Hall 113,J. McPeak,01/14/2025 - 04/24/2025,N/A
ECN 732,"M001-SEC Regular",Tu 3:30PM - 6:15PM,Eggers Hall 112,P. Singleton,01/14/2025 - 04/22/2025,N/A
ECN 745,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Shaffer Art Building 221D,A. Rothenberg,01/14/2025 - 04/24/2025,N/A
ECN 752,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Newhouse 2 355,T. Pearson,01/14/2025 - 04/24/2025,N/A
ECN 777,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Maxwell Hall 110,D. Popp,01/13/2025 - 04/28/2025,N/A
ECN 865,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Eggers Hall 112,S. Khan,01/14/2025 - 04/24/2025,N/A
ECN 999,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
MEE 332,"M001-SEC Regular","TuTh 9:30AM - 10:50AM Fr 2:15PM - 3:35PM","Link Hall room 160 Lyman Hall 132","A. Shen A. Shen","01/14/2025 - 04/24/2025 01/17/2025 - 04/25/2025",N/A
MEE 472,"M001-SEC Regular","TuTh 11:00AM - 12:20PM Fr 12:45PM - 1:40PM","Link Hall room 160 Link Hall 043","A. Deyhim E. Bogucz","01/14/2025 - 04/24/2025 01/17/2025 - 04/25/2025",N/A
AEE 342,"M001-SEC Regular","Mo 9:30AM - 11:35AM We 9:30AM - 11:35AM","Link Hall 369 Link Hall 369","F. Zigunov F. Zigunov","01/13/2025 - 04/28/2025 01/15/2025 - 04/23/2025",N/A
AEE 343,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Life Science Building 011,Y. Sun,01/14/2025 - 04/24/2025,N/A
AEE 343,"M002-LAB Regular",Fr 10:35AM - 12:35PM,Link Hall 0019,Y. Sun,01/17/2025 - 04/25/2025,N/A
AEE 343,"M003-LAB Regular",We 2:15PM - 4:15PM,Link Hall 0019,Y. Sun,01/15/2025 - 04/23/2025,N/A
AEE 343,"M007-LAB Regular",Th 5:00PM - 7:00PM,Link Hall 0019,Y. Sun,01/16/2025 - 04/24/2025,N/A
AEE 471,"M001-SEC Regular","TuTh 2:00PM - 3:20PM We 5:15PM - 6:10PM","Link Hall 369 Link Hall 369","Y. Wang Y. Wang","01/14/2025 - 04/24/2025 01/15/2025 - 04/23/2025",N/A
AEE 472,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,MARLEY ROOM 221,M. Sarimurat,01/14/2025 - 04/24/2025,N/A
AEE 472,"M002-RECRegular",Th 8:00AM - 9:20AM,MARLEY ROOM 221,M. Sarimurat,01/16/2025 - 04/24/2025,N/A
AEE 527,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Link Hall 373,K. Martinez Soto,01/13/2025 - 04/28/2025,N/A
AEE 542,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Hall of Languages 211,B. Akih Kumgeh,01/14/2025 - 04/24/2025,N/A
CEE 198,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Slocum Hall 214,E. Wing,01/13/2025 - 04/28/2025,N/A
CEE 274,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Link Hall 369,R. Aboutaha,01/13/2025 - 04/28/2025,N/A
CEE 274,"M002-RECRegular",Tu 5:00PM - 5:55PM,Hall of Languages 202,R. Aboutaha,01/14/2025 - 04/22/2025,N/A
CEE 275,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Link Hall 152,C. Johnson,01/14/2025 - 04/24/2025,N/A
CEE 325,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,Link Hall 369,Z. Qin,01/14/2025 - 04/24/2025,N/A
CEE 325,"M002-RECRegular",Tu 9:30AM - 10:25AM,Link Hall 274,Z. Qin,01/14/2025 - 04/22/2025,N/A
CEE 325,"M004-RECRegular",Th 12:30PM - 1:25PM,Link Hall 274,Z. Qin,01/16/2025 - 04/24/2025,N/A
CEE 329,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Link Hall 369,C. Johnson,01/14/2025 - 04/24/2025,N/A
CEE 329,"M003-LAB Regular",Tu 3:30PM - 4:50PM,Link Hall 274,C. Johnson,01/14/2025 - 04/22/2025,N/A
CEE 329,"M004-LAB Regular",Th 2:00PM - 3:20PM,Link Hall 274,C. Johnson,01/16/2025 - 04/24/2025,N/A
CEE 332,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Link Hall 369,R. Aboutaha,01/13/2025 - 04/28/2025,N/A
CEE 332,"M003-RECRegular",Th 3:30PM - 4:50PM,Link Hall 331,R. Aboutaha,01/16/2025 - 04/24/2025,N/A
CEE 338,"M001-SEC Regular","TuTh 9:30AM - 10:50AM TuTh 9:30AM - 10:50AM","Link Hall 369 SCITC 3-116","D. Negussey D. Negussey","01/14/2025 - 04/24/2025 01/14/2025 - 04/24/2025",N/A
CEE 352,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Link Hall 369,E. Carter,01/14/2025 - 04/24/2025,N/A
CEE 352,"M002-LAB Regular","Mo 12:45PM - 2:05PM Mo 12:45PM - 2:05PM","Link Hall 011 Link Hall 152","E. Carter E. Carter","01/13/2025 - 04/28/2025 01/13/2025 - 04/28/2025",N/A
CEE 352,"M003-LAB Regular","Mo 10:35AM - 11:55AM Mo 10:35AM - 11:55AM","Link Hall 152 Link Hall 202","E. Carter E. Carter","01/13/2025 - 04/28/2025 01/13/2025 - 04/28/2025",N/A
CEE 362,"M001-SEC Regular",We 5:15PM - 8:00PM,Link Hall 152,M. Liu,01/15/2025 - 04/23/2025,N/A
CEE 405,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Physics Building 104N,Y. Liu,01/14/2025 - 04/24/2025,N/A
CEE 413,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Heroy Geology Building 217,S. Tuttle,01/13/2025 - 04/28/2025,N/A
CEE 463,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Bowne Hall 414,C. Davidson,01/13/2025 - 04/28/2025,N/A
CEE 471,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Link Hall 152,S. Todorova,01/14/2025 - 04/24/2025,N/A
CEE 475,"M001-SEC Regular","MoWe 12:45PM - 2:05PM Fr 12:45PM - 3:30PM Fr 12:45PM - 3:30PM","Link Hall 369 Link Hall room 160 Link Hall 369","Y. Shi Y. Shi Y. Shi","01/13/2025 - 04/28/2025 01/17/2025 - 04/25/2025 01/17/2025 - 04/25/2025",N/A
CEE 500,"M002-SEC Regular",TuTh 11:00AM - 12:20PM,Link Hall 152,J. Trimmer,01/14/2025 - 04/24/2025,N/A
CEE 500,"M003-SEC Regular",MoWe 2:15PM - 3:35PM,Link Hall 152,K. Yu,01/13/2025 - 04/28/2025,N/A
CEE 520,"M001-SEC Regular",Tu 5:00PM - 7:45PM,Link Hall 274,E. Wing,01/14/2025 - 04/22/2025,N/A
CEE 535,"M001-SEC Regular",TuTh 5:00PM - 6:20PM,Link Hall 152,E. Lui,01/14/2025 - 04/24/2025,N/A
CEE 538,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,Link Hall 152,E. Lui,01/14/2025 - 04/24/2025,N/A
CEE 548,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,MARLEY ROOM 219,J. Anderson,01/14/2025 - 04/24/2025,N/A
CEE 582,"M001-SEC Regular",We 9:30AM - 12:15PM,Link Hall 152,M. Liu,01/15/2025 - 04/23/2025,N/A
CEE 605,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Physics Building 104N,Y. Liu,01/14/2025 - 04/24/2025,N/A
CEE 613,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Heroy Geology Building 217,S. Tuttle,01/13/2025 - 04/28/2025,N/A
CEE 639,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Link Hall 152,B. Salman,01/14/2025 - 04/24/2025,N/A
CEE 660,"M001-SEC Regular",TBA,TBA,A. Staniec,01/13/2025 - 04/28/2025,N/A
CEE 663,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Bowne Hall 414,C. Davidson,01/13/2025 - 04/28/2025,N/A
CEE 671,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Link Hall 152,S. Todorova,01/14/2025 - 04/24/2025,N/A
CEE 995,"M008-SEC Regular",TBA,TBA,S. Todorova,01/13/2025 - 04/28/2025,N/A
CEE 997,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
CEE 997,"M002-SEC Regular",TBA,TBA,E. Carter,01/13/2025 - 04/28/2025,N/A
MFE 634,"M001-SEC Regular",Th 6:30PM - 9:15PM,Link Hall room 160,J. Romeu,01/16/2025 - 04/24/2025,N/A
MFE 636,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Link Hall 156,U. Roy,01/14/2025 - 04/24/2025,N/A
MFE 654,"M001-SEC Regular",We 9:30AM - 12:15PM,FALK ROOM 275,Y. Moon,01/15/2025 - 04/23/2025,N/A
MFE 692,"M001-SEC Regular",TuTh 5:00PM - 6:20PM,Link Hall 331,U. Roy,01/14/2025 - 04/24/2025,N/A
